index,prompt
16,"3D animation of a small, round, fluffy creature with big, expressive eyes explores a vibrant, enchanted forest. The creature, a whimsical blend of a rabbit and a squirrel, has soft blue fur and a bushy, striped tail. It hops along a sparkling stream, its eyes wide with wonder. The forest is alive with magical elements: flowers that glow and change colors, trees with leaves in shades of purple and silver, and small floating lights that resemble fireflies. The creature stops to interact playfully with a group of tiny, fairy-like beings dancing around a mushroom ring. The creature looks up in awe at a large, glowing tree that seems to be the heart of the forest."
17,"The camera follows behind a white vintage SUV with a black roof rack as it speeds up a steep dirt road surrounded by pine trees on a steep mountain slope, dust kicks up from it’s tires, the sunlight shines on the SUV as it speeds along the dirt road, casting a warm glow over the scene. The dirt road curves gently into the distance, with no other cars or vehicles in sight. The trees on either side of the road are redwoods, with patches of greenery scattered throughout. The car is seen from the rear following the curve with ease, making it seem as if it is on a rugged drive through the rugged terrain. The dirt road itself is surrounded by steep hills and mountains, with a clear blue sky above with wispy clouds."
18,Reflections in the window of a train traveling through the Tokyo suburbs.
19,"A drone camera circles around a beautiful historic church built on a rocky outcropping along the Amalfi Coast, the view showcases historic and magnificent architectural details and tiered pathways and patios, waves are seen crashing against the rocks below as the view overlooks the horizon of the coastal waters and hilly landscapes of the Amalfi Coast Italy, several distant people are seen walking and enjoying vistas on patios of the dramatic ocean views, the warm glow of the afternoon sun creates a magical and romantic feeling to the scene, the view is stunning captured with beautiful photography."
20,"A large orange octopus is seen resting on the bottom of the ocean floor, blending in with the sandy and rocky terrain. Its tentacles are spread out around its body, and its eyes are closed. The octopus is unaware of a king crab that is crawling towards it from behind a rock, its claws raised and ready to attack. The crab is brown and spiny, with long legs and antennae. The scene is captured from a wide angle, showing the vastness and depth of the ocean. The water is clear and blue, with rays of sunlight filtering through. The shot is sharp and crisp, with a high dynamic range. The octopus and the crab are in focus, while the background is slightly blurred, creating a depth of field effect."
21,"A flock of paper airplanes flutters through a dense jungle, weaving around trees as if they were migrating birds."
22,"A cat waking up its sleeping owner demanding breakfast. The owner tries to ignore the cat, but the cat tries new tactics and finally the owner pulls out a secret stash of treats from under the pillow to hold the cat off a little longer."
23,Borneo wildlife on the Kinabatangan River
24,A Chinese Lunar New Year celebration video with Chinese Dragon.
25,Tour of an art gallery with many beautiful works of art in different styles.
26,"Beautiful, snowy Tokyo city is bustling. The camera moves through the bustling city street, following several people enjoying the beautiful snowy weather and shopping at nearby stalls. Gorgeous sakura petals are flying through the wind along with snowflakes."
27,A stop motion animation of a flower growing out of the windowsill of a suburban house.
28,The story of a robot’s life in a cyberpunk setting.
29,"An extreme close-up of an gray-haired man with a beard in his 60s, he is deep in thought pondering the history of the universe as he sits at a cafe in Paris, his eyes focus on people offscreen as they walk as he sits mostly motionless, he is dressed in a wool coat suit coat with a button-down shirt , he wears a brown beret and glasses and has a very professorial appearance, and the end he offers a subtle closed-mouth smile as if he found the answer to the mystery of life, the lighting is very cinematic with the golden light and the Parisian streets and city in the background, depth of field, cinematic 35mm film."
30,"A beautiful silhouette animation shows a wolf howling at the moon, feeling lonely, until it finds its pack."
31,"New York City submerged like Atlantis. Fish, whales, sea turtles and sharks swim through the streets of New York."
32,"A litter of golden retriever puppies playing in the snow. Their heads pop out of the snow, covered in."
33,"Step-printing scene of a person running, cinematic film shot in 35mm."
34,"Five gray wolf pups frolicking and chasing each other around a remote gravel road, surrounded by grass. The pups run and leap, chasing each other, and nipping at each other, playing."
35,Basketball through hoop then explodes.
36,"Archeologists discover a generic plastic chair in the desert, excavating and dusting it with great care."
37,"A grandmother with neatly combed grey hair stands behind a colorful birthday cake with numerous candles at a wood dining room table, expression is one of pure joy and happiness, with a happy glow in her eye. She leans forward and blows out the candles with a gentle puff, the cake has pink frosting and sprinkles and the candles cease to flicker, the grandmother wears a light blue blouse adorned with floral patterns, several happy friends and family sitting at the table can be seen celebrating, out of focus. The scene is beautifully captured, cinematic, showing a 3/4 view of the grandmother and the dining room. Warm color tones and soft lighting enhance the mood."
38,The camera directly faces colorful buildings in Burano Italy. An adorable dalmation looks through a window on a building on the ground floor. Many people are walking and cycling along the canal streets in front of the buildings.
39,"The Glenfinnan Viaduct is a historic railway bridge in Scotland, UK, that crosses over the west highland line between the towns of Mallaig and Fort William. It is a stunning sight as a steam train leaves the bridge, traveling over the arch-covered viaduct. The landscape is dotted with lush greenery and rocky mountains, creating a picturesque backdrop for the train journey. The sky is blue and the sun is shining, making for a beautiful day to explore this majestic spot."
40,"An adorable happy otter confidently stands on a surfboard wearing a yellow lifejacket, riding along turquoise tropical waters near lush tropical islands, 3D digital render art style."
41,"This close-up shot of a chameleon showcases its striking color changing capabilities. The background is blurred, drawing attention to the animal’s striking appearance."
42,A corgi vlogging itself in tropical Maui.
43,"A white and orange tabby cat is seen happily darting through a dense garden, as if chasing something. Its eyes are wide and happy as it jogs forward, scanning the branches, flowers, and leaves as it walks. The path is narrow as it makes its way between all the plants. the scene is captured from a ground-level angle, following the cat closely, giving a low and intimate perspective. The image is cinematic with warm tones and a grainy texture. The scattered daylight between the leaves and plants above creates a warm contrast, accentuating the cat’s orange fur. The shot is clear and sharp, with a shallow depth of field."
44,"Aerial view of Santorini during the blue hour, showcasing the stunning architecture of white Cycladic buildings with blue domes. The caldera views are breathtaking, and the lighting creates a beautiful, serene atmosphere."
45,"Tiltshift of a construction site filled with workers, equipment, and heavy machinery."
46,"A giant, towering cloud in the shape of a man looms over the earth. The cloud man shoots lighting bolts down to the earth."
47,A Samoyed and a Golden Retriever dog are playfully romping through a futuristic neon city at night. The neon lights emitted from the nearby buildings glistens off of their fur.
48,Chef chopping onions in the kitchen for the preparation of the dish
49,A little man with blocks visiting an art gallery
50,A white cat driving in a car through a busy downtown street with tall buildings and pedestrians in the background
51,Macro shot of a volcano erupting in a coffee cup
52,"Dew on blue rose petals, HD, close up, detail"
53,A Chinese boy wearing glasses enjoys a delicious cheeseburger with his eyes closed in a fast food restaurant
54,A corgi wearing sunglasses walks on the beach of a tropical island
55,A Chinese man sits at a table and eats noodles with chopsticks
56,A man and woman walking hand in hand under a starry sky with a bucket in the background
57,Give me a cappuccino.
58,A tropical fish swimming in ocean reefs
59,Chimneys in the setting sun
60,"An astronaut runs on the surface of the moon, the low angle shot shows the vast background of the moon, the movement is smooth and appears lightweight"
61,"Little boy riding his bike in the garden through the changing seasons of fall, winter, spring and summer."
62,"Carefully pouring the milk into the cup, the milk flowed smoothly and the cup was gradually filled with a milky white color"
63,Blooming Flowers
64,"A man riding a horse through the Gobi Desert with a beautiful sunset behind him, movie quality."
65,Panda playing the guitar
66,Car mirrors and sunsets
67,A rally car taking a fast turn on a track
68,The rabbit who reads the newspaper and wears glasses
69,"Close-up of a bright blue parrot's feathers glittering in the light, showing its unique plumage and vibrant colors"
70,Subtle reflections of a woman on the window of a train moving at hyper-speed in a Japanese city.
71,An astronaut running through an alley in Rio de Janeiro.
72,FPV flying through a colorful coral lined streets of an underwater suburban neighborhood.
73,An empty warehouse dynamically transformed by flora that explode from the ground.
74,Close up shot of a living flame wisp darting through a bustling fantasy market at night.
75,"Handheld tracking shot, following a red balloon floating above the ground in abandon street."
76,A FPV shot zooming through a tunnel into a vibrant underwater space.
77,A wide symmetrical shot of a painting in a museum. The camera zooms in close to the painting.
78,Ultra-fast disorienting hyperlapse racing through a tunnel into a labyrinth of rapidly growing vines.
79,"FPV, internal locomotive cab of a train moving at hyper-speed in an old European city."
80,Zooming in hyper-fast to a dandelion to reveal macro dream-like abstract world.
81,Internal window of a train moving at hyper-speed in an old European city.
82,"Handheld camera moving fast, flashlight light, in a white old wall in a old alley at night a black graffiti that spells ‘Runway’."
83,Super fast zoom out from the peak of a frozen mountain where a lonely hiker is arriving to the summit.
84,A first-person POV shot rapidly flies through open doors to reveal a surreal waterfall cascading in the middle of the living room.
85,A first-person POV shot rapidly flies towards a house's front door at 10x speed.
86,A pencil drawing an architectural plan.
87,An extreme close-up shot of an ant emerging from its nest. The camera pulls back revealing a neighborhood beyond the hill.
88,"A tsunami coming through an alley in Bulgaria, dynamic movement."
89,A FPV drone shot through a castle on a cliff.
90,A cinematic wide portrait of a man with his face lit by the glow of a TV.
91,"A close up portrait of a woman lit by the side, the camera pulls back."
92,Zoom in shot to the face of a young woman sitting on a bench in the middle of an empty school gym.
93,"A close up of an older man in a warehouse, camera zoom out."
94,"An older man playing piano, lit from the side."
95,Macro shot to the face freckles of a young woman trying to look for something.
96,An astronaut walking between stone buildings.
97,A middle-aged sad bald man becomes happy as a wig of curly hair and sunglasses fall suddenly on his head.
98,An ultra-wide shot of a giant stone hand reaching out of a pile of rocks at the base of a mountain.
99,Aerial view shot of a cloaked figure elevating in the sky between skyscrapers.
100,An oil painting of a natural forest environment with colorful maple trees and cinematic parallax animation.
101,"View out a window of a giant strange creature walking in rundown city at night, one single street lamp dimly lighting the area."
102,"A man made of rocks walking in the forest, full-body shot."
103,A slow cinematic push in on an ostrich standing in a 1980s kitchen.
104,"A giant humanoid, made of fluffy blue cotton candy, stomping on the ground, and roaring to the sky, clear blue sky behind them."
105,Zooming through a dark forest with neon light flora lighting up.
106,A cyclone of broken glass in an urban alleyway. dynamic movement.
107,A man standing in front of a burning building giving the 'thumbs up' sign.
108,Highly detailed close up of a bacteria.
109,A Japanese animated film of a young woman standing on a ship and looking back at camera.
110,"A close-up shot of a young woman driving a car, looking thoughtful, blurred green forest visible through the rainy car window."
111,Aerial shot of a drone moving fast in a dense green jungle.
112,Hyperlapse shot through a corridor with flashing lights. A silver fabric flies through the entire corridor.
113,Aerial shot of the ocean. a maelstrom forms in the water swirling around until it reveals the fiery depths below.
114,A push through an ocean research outpost.
115,A woman singing and standing in a concert stage with a bright light in the background.
116,Over the shoulder shot of a woman running and watching a rocket in the distance.
117,Dragon-toucan walking through the Serengeti.
118,An empty warehouse where flowers start blooming from the concrete.
119,A side profile shot of a woman with fireworks exploding in the distance beyond her.
120,A pink pig running fast toward the camera in an alley in Tokyo.
121,A bird landing on water and turning into a fish.
122,A woman serving a powerful shot in a game of tennis.
123,lizard catching a bug
124,"A lightning bolt strikes a turtle in the middle of a lake, immediately turning him into an alligator."
125,a metal skull growing muscle tendon and flesh
126,A fencer engaged in a fast-paced duel.
127,A curious cat peering out from a cozy hiding spot.
